text,emoji
"Merry Christmas!! Enjoying a fun night chaperoning the Summit…
",8
"Back 2 da Bullshit! @user beno49ers #hahaha #tacomachit #washington @ Tacoma, Washington
",1
"Love you man, things do get better @ Amherst, Ohio
",11
"Workout done....man, I got that pink wetter than expected …
",10
"Salute to the Red, White, &amp; Blue! Happy 241st Birthday, USA!!! #4thOfJuly…
",7
"Oh my gosh I won!!!!! #worldfitnessexpo #fitnesspro #canfitpro #PROTRAINER…
",12
"I've been DREAMING of the perfect fitting pants and I've finally found them! The only pair of…
",0
"Somehow, we don't have a picture together but here's two I've…
",1
"Imagine all the people #imagine #johnlennon #newyork @ John Lennon Imagine Mosaic
",0
"21 Savage concert but call me Fredrick Douglass for the night @ University Of Memphis
",10
"Saturday July 22nd | #SocialSaturdays w/ @user music…
",3
"""All I need is 12 homies!"" @ Directions Outreach Ministries
",1
"The Rangers newest fan! Thanks @user for the corporate box #nyc #rangers #rangerstown…
",0
"Can't believe you're leaving me in 2 weeks! I love you twin …
",0
"blue point oysters, pork belly kimchi fried rice and roasted shishito peppers @ Other Mama LV
",11
"Chapter Twenty-One: I thank God for allowing me to see my 21st and for allowing me to share…
",4
"When the fun is done say cheese!!! I love the opportunities that I am blessed with !!!! @user
",12
"We've been counting the days for this @ The Harbor Grand
",0
"Philadelphia, Pennsylvania ️ Spent the day in the rain, but enjoyed it nonetheless. There's…
",0
"I had flounder Rich had Redfish @ Boathouse Rotisserie &amp; Raw Bar
",0
"NeXT Friday !!!October 23 #RandyFlowLive #MegaJay#Temptation @user Daleeee !!! @user
",3
"Actually looking at Alex in this picture|| :…
",2
"I had to get a picture of Mystic Pizza. The movie was so cute. @ Mystic Pizza
",6
"The more you celebrating, the more you have to celebrate ️ believe, love &amp; happiness. Happy…
",0
"PAULO PASCUAL DAILY: @ the 90's concert Lit w/ my Pinsans!..... (07.15.17).....…
",3
"My baby @ Los Angeles, California
",0
"No shame in my chopstick game @ Sakana
",1
"متاخره (@ The University of Texas at Dallas (UTD) - @user in Richardson, TX)
",12
"TONS OF MID CENTURY GIFTS FOR SALE (and new inventory added daily MASSIVE and perfect for…
",0
"Just another lousy day at the lake ️ @ Indian Lake State Park (OH)
",9
"Estilo Breaking Bad!!! Carlsbad #californialove @ El Pollo Loco
",7
"Say 117This boo camsfart here just graduated, and I'm so proud of him I remember when he was…
",0
"I don't need anything but these nine boys #5sos #1D #5secondsofsummer #onedirection #AMAs @ 2015…
",0
"Snowy Friday#Tortlaw #snowdaypjs #HurlockMD @ Bayliss Home
",0
"Ohhhhh lukebryan you were amazing. Thank You! Thank you B.O.C for this amazing festival for 5…
",0
"Monday munchies! poweredbydoughnuts @ Blackbird Doughnuts
",2
"el puente @ The Brooklyn Bridge New York City
",4
"I thought I was going much faster than this looks. #thankyouskateboarding #48nsk8 #napask8r…
",1
"Little hands always digging through my bag Also, this fun little sundress is on super sale…
",10
"A nice lake breeze puts the mind at ease... #nikonphotography #laketravis #austin #lake…
",2
"Go watch my new video #MyShoes #linkinmybio #NewMusic #UnsignedHype #Rap #Djjayhood #Trap…
",3
"Arizona skies... ️#radiance #innerfight @ Thunderbird School of Global Management
",9
"Friends don't let friends vote Trump. #imwithher #teamaniston....#hillaryclinton…
",7
"Throwback Thursday cause this came up on my Timehop today and cause peterpagano didn't have…
",1
"just watch everybody hates Chris for 7 hours
",0
"HOTTEST SINGLE IN THE WORLD !!! #CookUp #newsingle LINK IN BIO ! @ Chicago, Illinois
",3
"Had to repost but happy new year. Lets achieve our goals this year. by kaylee__parrish /…
",2
"It's beginning to look a lot like Christmas @ Odell, Illinois
",0
"Roasted those Greyhounds @ Alan C. Pope High School
",3
"I'm just glad im alive lol @ Bum Fukt Egypt
",5
"Playing #talisman tonight as a family... Yes I am a nerd! @ Laguna Niguel, California
",13
"First trip to the Heat arena for AJ #LETSGOHEAT miamiheat @user
",3
"@user SLAAAAYED her entrance! #Selenators where you at?! #Wild949JingleBall @ Oracle…
",0
"A bit of sun for breakfast @ New York, New York
",4
"#BTS Styling my pregnant bestie @user on the new season of ""Swedish Hollywood…
",4
"All grown up. #TylerZachary @ Irvine Spectrum Center
",6
"Hand-me-downs #DanielLillianandOliverrock #my45thyear @ Gorham, Maine
",0
"""Don't be afraid to dream, but then open your eyes &amp; see""... - @user Photograph Courtesy of…
",4
"Talk shit, get shot. #Paintball @ Boston Paintball Ashland
",5
"Absolutely love this place...Absolutely no filter needed... #Austin #Texas @ Austin, Texas
",7
"sorryiruinedyourholiday @ New York, New York
",2
"Me and my guy Everyone, meet Bruce Wayne! @ Manhattan, Kansas
",0
"@user @user Coach Mike aka last comic standing's winner. Thank you for the laughs.
",6
"Thanks for making my first time in Iowa City a great one @ Kinnick…
",6
"#fendersfarm #f150 #stx #oxfordwhite @ Fender's Farm
",0
"My date for the night ️ @ Joe's Crab Shack Official Page
",0
"Sunsets in Port St. Joe never get old ️ @ Haughty Heron
",9
"Homemade French palmiers stole my heart ️. First time making. First time eating.…
",0
"A bond like no other. So Obsessed with my cousins ️ #ChristmasEve #Firstcousins @ Hilliard…
",0
"Couldn't have hit a popped manhole cover in a more scenic spot. #luckiestmanalive @ West…
",1
"Secure your bag baddies!! Kinky Straight is the look of the season! Don't be caught out here…
",0
"#harrypotter #thewizardingworldofharrypotter @ Gringotts Wizarding Bank
",3
"My favorite place with my favorite person @ Chicago, Illinois
",0
"Gus is my favorite! @ Dogs in the City
",0
"So excited to see Kamau tonight!! #kamaunow #cityartsandlectures #kalw #afterworkfun @ Nourse…
",6
"Not a st pattys pic @ Wilfrid Laurier University
",13
"Love what I do! croftoncoldwellbanker @user #cbproud ️ @ Rolling Road Golf Club
",0
"So in love with this beauty! The “Flamingo Flock” pattern The truly DIY, Peel and…
",0
"New Listing in Lewisville so me, Dasha and Dana had a photoshoot 320k | 4 bed | 2.5 bath |…
",1
"St.pete after hours I luv da hood @user my nigga wit me1800 DEGREEZ 4DASUMMA @user
",3
"I love my new look and plus it feel like 20 lbs light #DJTBoo #ParadigmEnt850 #ParadigmDJs @user
",1
"Happy Mother's Day Mom @ Brown Memorial African Methodist…
",0
"Saturday! A good day for a drive @ Montgomery, New York
",5
"Had a great time with my awesome mom today. #loveher #lovedadtoo…
",6
"@user thanks for the #losangeles #playavista #siliconbeach #innovators #creative…
",0
"#lastmeal @ Chili's Grill &amp; Bar
",1
"#ColdHardFacts my daughters ain't seeing that shit till they're…
",11
"video killed the radio star @user @user @ Los Angeles, California
",2
"#1991 Have a good day :&gt; # @ University of Pittsburgh
",7
"Another SPECTACULAR weekend in the books, in my home away from home, #SF See you again in…
",0
"wedding day! #sgphs alumni reppin. ️ #ndukawemadeit•••••#celebrate #love #vscocam…
",0
"#allison #lovethiskid #shecracksmeup #sundayfunday @ Gateway…
",1
"happy holidays from your favorite Slovenians @ Deep River, Connecticut
",8
"Thx for a great night you two #Rave @ Saint Constantine and Saint Helen Greek Orthodox Church
",0
"Girls who rock together, mosh together @ The DeltaPlex Arena
",5
"Rainy Saturday spent editing the new campaign // #PrimaryEssentials @ New York, New York
",4
"A wild Brian appeared... danabears #estespark #denver #lumpyridge #hiking #trailrun #trail…
",2
"@user cuz the only thing I pay attention to in school is how perfection is on my binder
",0
"Drag Queen Christmas show with my queens. #christmas #dragqueen #holidays #utah @ Club X SLC
",8
"2 days, 2 hours and 12 minutes Can't wait…
",0
"lovely Thai chicken salad with crispy noodles before my flight home from Miami on Friday…
",7
"This is not a popular thing to admit but we must deal with reality Sometimes we feel…
",9
"He's so silly @user @user @ Life Community Church
",13
"@user lmfaooo party was so lit #party #fun #drunk #awsome #like #comment #followme…
",3
"@user you know im just teasing fam
",1
"all it took was one conversation and I was hooked #instantfriends @user
",10
"When Your CoWorker That Nags At Everyone And Trips In front Of Everyone Is just Priceless
",1
"New York Stock Exchange #America #july4thweekend #USA #loveyoumerica @ New York Stock Exchange
",7
"#Mood . This record goes hard. Shout to sheff_g ... #cantdenyheat @ Brooklyn, New York
",3
"All I want for Christmas is you ️ @ Brady, Texas
",0
"Friday night ish with @user @user studio C Some guy from Bed-stuy…
",2
"@user wedding tonight ️ ️ ️ @ Pittsburgh, Pennsylvania
",0
"#Repost from @user Thank you for a great class! Ps. Thanks @user for…
",12
"Nashville was on point. Ready to be back for good and start this journey! #nashville #thestage…
",0
"MOOD baggy.large @ Ville Platte, Louisiana
",1
"Beach daze ️ @ Cape Hatteras National Seashore
",9
"Love my Marie! Enjoying quality time in Vegas learning more about the nutrition we ️.…
",0
"Tai Chi, Hot Cocoa, Magic Candles, Story Books, and Super Heroes! What an incredible day!!…
",4
"#sourpunchstraws, candy of my youth! @ Oswego, Illinois
",12
"This was an “electrifying” project. an absolutely beautiful 2017 Tesla Model X arrived at the…
",13
"WBEZ block party with my cousin Jill as the host @ Metro Chicago
",5
"2 of my favorite things: neon lights and a little #mondaymotivation @ Dallas, Texas
",4
"The dream team #houstonrodeo #eatingood @ Houston Livestock Show &amp; Rodeo Barbecue Cook Off
",0
"#ishowlove215 #themansionproject #goodmusic @ Strawberry Mansion, Philadelphia
",3
"Priceless! @ Mesker Park Zoo &amp; Botanic Garden
",1
"@user shooting the next #lifeofdre #vlog with the “fun police” byllechor check me out…
",1
"️Oh Happy Sunday! ️ I’d love to bring a little more sunshine into your Sundays and see your…
",9
"it's a beautiful day in the neighborhood #mistarogers @ Austin, Texas
",9
"11:11 take me back to the city of lights @ Top Of The Rock NYC
",4
"Headed Out What's Litty #mustfollow @user #dreadhead #dreadheads #lit #lit #litty…
",3
"Just ran into the legendary @user Great seeing you brother! #OutAndAbout…
",5
"I hear it's sunny and 90 in Cancun! #offtowork #travelimpressions #fam @ Fort…
",5
"I can't help falling in love with you ♡ : kee_win07 @ Norfolk…
",2
"Love always wins Captured by Matthew Septimus. #VictoriousBride #VictoriousWeddings…
",0
"Stoked about watching Deadpool @ AMC Tysons Corner 16
",12
"well.. maybe not the Bahamas just a nice body of fresh water @user
",13
"They are the cutest thang live @user @ Levitt Pavilion Los…
",0
"This girl is crazy #sister #brotherlylove #bondingtime…
",13
"My favorite typa Saturday! #SquadGoals @ Orlando International Premium Outlets
",5
"#Repost urbansvintage・・・#CelebrateBlackWomen: Long Overdue. #TarajiPHenson #MaryJBlige…
",4
"Enjoying some sun ️ Rain Rain Go Away #BuySellRentInvestRealEstate CONTACT @user
",9
"Young Flourish &amp; Lil Radiance taking the sunshine state by storm ️ ️ ️ @ Universal Studios
",9
"Finally made it to the WC farm! Picked up tomatoes &amp; onions-- benefits of an AG COLLEGE! IT! @user
",0
"Roll Sun | pants status : anticipated #cycling #sf #coffee @ Twin Peaks Summit
",9
"tennessee (@ Tennessee / Virginia State Line in Bristol, TN)
",0
"Don't have to clean off my car cause I don't have a car. @ Bedford–Stuyvesant, Brooklyn
",7
"Don't fret, @user is here to solve your gifting worries! The shop is full of sundries…
",4
"Lighting was @ Georgia State University
",11
"#wheeliewednesday (early #throwbackthursday) from No Mercy 5 under the lights. courtesy of…
",2
"my day 1 was an A1 date @ Kappa Delta of UNG
",11
"I’m going to shed some light ( ) on LED therapy use in dermatology.  There are so many…
",13
"Christmas dinner: Fish &amp; Chips... #sowhat @ Santa Monica Beach
",5
"One of my all time greatest George Duke records: Face The Music. Check it out! . #jazz #legend…
",3
"| it's not who you are that holds you back, it's who you think you are | - @user @ Over…
",2
"Reppin My Favorite DJ @user &amp; Favorite Club @user In One #motivationmonday #djlife…
",2
"Taking out the kids today! ️ ️ ️ #parents @ Birch Run Premium Outlets
",0
"All smiles and curls #onset #curlpower #selfie with touuraya | awakaciera | @user |…
",2
"Thanks guys for such an amazing #Halloween #chicago #illinois…
",7
"An Evening With Avenged Sevenfold at The GRAMMY Museum in Los Angeles, Ca : Rebecca Sapp / The…
",2
"Life In Color | Orlando was LIT lifeincolororlando2016 #lifeincolor #lic #kingdom #florida…
",3
"Happy thanksgiving from ur fav fam!!!PHOTOCREDS : @user @user
",2
"And my morning starts @ Church Of The Reedemer
",13
"All I want for Christmas is you, #DiddyRiese! @ Diddy Riese Cookies
",8
"Happy Veterans Day! Thank you to everyone who has served! Hooah!(Repost from @user
",7
"Prepping for the monkey’s 3rd birthday tomorrow. ️ @ Prescott Valley, Arizona
",0
"No filter needed #NiagaraFalls @ Niagara Falls, Canadian Side
",0
"Congrats to the little sister on graduating, we are so proud of you! I love you! @ White River…
",0
"Here we go again! Not sure what's better... the #Tennis or the #HoneyDeuce! :…
",2
"Happy Thursday, friends! ️I received a really cool shout-out for my bloggy blog from…
",9
"#manupconf started off with a big 80s tribute! @user @ Wave Church
",3
"So yesterday #picoftheday #selfie @ New York, New York
",13
"Christmas ready . #christmas2017 #christmaseve @ Annapolis, Maryland
",8
"My new bae @ Universal Studios Hollywood
",13
"Those don't exist RT @user Picture angles
",3
"️No worries under the sun ️ @ Lake Michigan
",9
"Good morning Pottstown ️ Big 4 Fall Champions League kicks…
",9
"Love those games when you get here it's still dark said no parent ever #baseballLife…
",1
"iPhone Live video snippet #SiriusXM interview ~ JDM describes #TWDSeason8 in one word (thanks…
",3
"I shot an elk @ Rocky Mountain National Park
",2
"[selfie Sunday with my pops] @ The White House
",0
"Let's get this Saturday started #LoveYourselfAlways #PositiveVibes #deathtocomparison…
",10
"#PressPlay Last Night At atlcomedytheater Perfoming W @user Our Song ""Love Games"" S/0…
",3
"Had a great day shooting a ton of meals for @user today - can't wait to show everyone the…
",2
"My Lordt. | He Rose Yes He Rose @ Georgia Dome
",1
"There...I just super mooned you! @ Westminster Square Apartments
",1
"a rainy thursday shopping (@ Upper Manhattan in New York, NY)
",10
"#Iamwithher I just cast my #vote @ Crown Heights, Bklyn
",7
"Yummm Just listed a whole lot of magical sparkly treats over at XOXO…
",6
"The best ever @ Pinkberry NYC Midtown East
",0
"Let Freedom Ring!!! USA!! #rydercup2016 #thisbudsforyouUSA #merica @ Hazeltine National Golf…
",7
"Life is Beautiful with these two by my side @ Whist Stove &amp; Spirits
",11
"Finally got my vape! Nicotine free too @ Sherman Oaks, California
",6
"Chicago, you have my heart ️ @ Chicago, Illinois
",0
"#realtalk # #income #equality #hollywood #taxevasion @ United States
",11
"The instructor wanted to take a selfie with us @ Brasada Ranch
",13
"Lil date night with my man @ Roma Cafe
",0
"don’t yuck my yums bruh #AWESUMSAUCE #mysaucesoawesum #savortheflavor @ Atlanta, Georgia
",4
"Harper fell asleep within 10 minutes with my old gamer headphones on #parentingatitsfinest…
",1
"The most important photoshoot of the year. Photographing my son today! #family #portraits…
",6
"Find a man who looks at you the way Mike and Nick look at each other in this last pic …
",1
"We're cute #shamrockcrawl #shamrock #stpatricksday #boyfriends #ilovehim #shades #sunglasses…
",6
"I am in board game heaven pretty much feeling exactly how that guys face looks. @ The Uncommons
",0
"VERTigo.. get it? (#cbc #rmr #badjokes #worsepuns #toronto #adventures) @ CBC Toronto
",10
"Taking over the zalando “#Aw17 Style of the day” section this week! One outfit per day More…
",5
"Happy Sunday Sign your name and drive home with this beautiful lifted 2014 CHEVROLET SILVERADO…
",12
"Destination: wonder and whimsy #renwickgallery #whimsical #art @ Renwick Gallery
",0
"Guess it's a #mustang day at Fry's. @ Fry's Electronics
",1
"Take me back? @user @user He's picky with his filters @ Sneaky Dee's
",0
"Lexus RCF Pikes Peak Airstrip Attack : Joel Chan •
",2
"Happy 241st Birthday America!!! #fourthofjuly #America #fireworks #BoomKaBoom @ Springdale,…
",7
"Welcome to my house @ Stella's Fish Cafe &amp; Prestige Oyster Bar
",5
"Missing you everyday my bubbah ️// ____________________________________________________ @user
",0
"Omg I died laughing with this filter on her #snapchat #LOL #OMG @ Georgia/Florida Border =)
",1
"Great Chevy truck I always saw at cruise night.This is one of my first pictures #chevy…
",2
"Happy Labor Day! ️Sweated out a long run around both back lakes…
",9
"@user I'm good at making lemonade.
",1
"Sucks having to hang up the cleats, but thanks for a great season girls @ Manning Field
",0
"‘Tis the season for @user #georgetowncupcakes #georgetowncupcake #iphonex @ Georgetown…
",8
"These ladies have been working so hard for our new performance!!! I am so proud of them We…
",0
"He's getting braver... Those sisters just looked like they were having too much fun. …
",10
"#tbt with my chums from the Dells when being weird &amp; loud at 17 was normal @ Wisconsin Dells, Wisconsin
",1
"Getting our Fraser Fir! @ Smoky Mountain Christmas Tree Farm
",8
"shocking cus @user isn't in this pic @ REBEL
",1
"Interesting...the kind of words your kids come up with when you're playing Scrabble with them. I didn't know ""fitesfat"" was a word...
",1
"4th of July #red #white #blue #colors #IndependenceDay #UnitedStates #california #usa…
",7
"Laughlin with my loved ones @ In the Colorado River Between…
",6
"merry christmas from mill no 1 @ Mill No. 1
",3
"Amazing. Nature. Infinity. Jump. Grand Canyon, Arizona, #USA #ARIZONA #GRANDCANYON #CANYON…
",7
"""Home isn't always four walls. Sometimes, it's two eyes &amp; a heartbeat"". @ Horseshoe Bend
",4
"It got pretty loud last night with yookiemusic #edm #dubstep @ Webster Hall
",3
"Dinner at the beach with Amazing friends @ Dockside
",5
"Working from Grandpas today @ Middle Village, New York
",4
"Lacma Lights with my love @ Los Angeles, California
",4
"Back Bay state of mind @ Newport Back Bay
",9
"ready for ya @user @ Golden 1 Center
",10
"The BEST LOVE POCKET!!! @ Mama's Royal Cafe
",0
"@user jump n pool live on TV #. #BOE #3EO I.E. #blacktopp #indecentexposurefilms @user
",3
"I'm just tryna give you something to remember through the summertime. ️ @ Avi Laughlin NV
",9
"Not all who wander, are lost • Still can't believe my phone took this shot @ Las Vegas Strip
",4
"The universe is equal to her vast appetite .Original by BaudelaireFeminized by…
",4
"@user How awesome to see you today @user got my shades! ! #calijulzsays dtla…
",5
"It's a great day for a new hair cut and to be a Flash @ cutLoose Hair HTX
",13
"It's a holly jolly Christmas with this one #friends #Christmas #ChristmasTree #party…
",0
"Stars &amp; Stripes &amp; Flames #AlbuquerqueBalloonFiesta2017 #iphonevideo #iphoneography…
",3
"That serious face when you ran a mile but still got HIT training to do for 30 minutes let's…
",3
"@user not bad #TheRealNEMM #sportsbikelife #sportbike #motorcycle #motorrad #bmw…
",1
"Its hard to trust fat people that wear skinny people clothes..... #besafetho @ Detroit, Michigan
",11
"Beyond blessed to have been a part of your special day! You looked amazing, Love you so much…
",0
"I HATE grocery shopping. So, SO much. Don't make me do it. :: amberlane #shoppingday…
",2
"Post #sb50 selfie with #mvp @user @ Kyle Field
",10
"I may have found my favorite coffee ever ️ @ Honest Coffee Roasters - Huntsville
",0
"@user still MINE ️ @ Central Park
",0
"It's gonna be those Sunday at #FUNKBOXNYC! Please #ComeDanceWithUs…
",3
"Carrowinds Winterfest Christmas Tree Lighting 2017! #carrowinds2017 #christmastree #lighting…
",8
"""Git GUTTA!""'..... email info@guttasoles.com for pricing and information #guttasoles…
",11
"#beautiful #view #pano #iphone5s yes I needs the 6 or 8 lol @ Courtyard by Marriott in Cayce, SC
",1
"Moonrise from #Gulfport : @user @ Gulfport, Mississippi
",2
"Capitol Hill crew... #drumandbass #dnb #teamviper #seattle #night #balticroomseattle @ The…
",5
"Ooh almost here @ Co Ho (The Smart Bar)
",5
"repping the sprig shades #roadtrip #smilemore @ Palos Verdes
",5
"Bagels and lox #NYCBreakfast @ Upper East Side
",5
"Love these beebs and love this bar @ Estereo
",0
"Snapchat and Instagram had a baby! I don't know how this works but I'll figure it…
",1
"Good morning to The Meeting House.***#bostonusa #boston #followingboston #afieldbook…
",7
"This day. Almost perfect. ️ @ Meritage - St. Paul Restaurant
",0
"Taking a little time to recharge in the midst of the holiday sessions craziness @ Universal…
",8
"Got in another hometown workout lol. 500 calories Happy Monday! -Udeme @ Flywheel Sports -…
",3
"Tomorrow night!You know where we at with it Who can repost this in support? @ Xhale Hookah…
",10
"♫ Music: Sitya Loss - Eddy Kenzo TONIGHT! TONIGHT! TONIGHT! @ Kompa Connection
",5
"#NotMyPresident #fucktrump #rallyagainsttrump #NYC #stongertogether @ Trump Towers at 5th Ave
",7
"️ (at @user in New York, NY w/ @user
",0
"Errrr magerrrrrd!!! - Drinking a Crazy Navel by @user at @user —
",0
"Late post.. Good brunch earlier with my Mr and the kiddos …
",6
"We see once or twice a year in #Seattle, and at least nice a year in #washingtondc. LOL #Friendship…
",1
"Those eyes are what got us Newest family member! @ Scottsville…
",0
"I'm sure @user and I can raise enough money to buy your NCAA tournament tickets lol
",10
"#wdTTwt Hey KB and JB @ Fort Lauderdale-Hollywood International Airport
",1
"S/o to the the homie @user we had them schools turnt this weekend and it doesn't stop…
",3
"I don't know who wrote this, but I needed this today thank you for giving me a little…
",0
"CAME TO THIS RESTAURANT .. WE HAD A RESERVATION SO HAD NO TIME FOR A HAIR CUT! BLESSED TO BE…
",11
"Shawty get loooose #rachattemptshiphop #physicalgraffiti #d4reunion #werkshop @ DISC
",13
"Bizzy Live! we will be Opening!!!Til tha Death Records( @user @user @user
",3
"Presidential campaign or RA programming ad? #dandridgemcdade2016 …
",7
